"","Fussballer.Name","Fussballer.Age","Fussballer.Club","Fussballer.Overall","Fussballer.Potential","Height"
"14872","G. Byers",22,"Swansea City",60,68,180.34
"14873","Lin Liangming",21,"UD Almería",60,73,177.8
"14874","A. Putna",23,"Real Salt Lake",60,68,187.96
"14875","Yang Qipeng",31,"Tianjin TEDA FC",60,60,185.42
"14876","Hu Ruibao",21,"Guangzhou Evergrande Taobao FC",60,68,185.42
"14877","Caio Marcelo",20,"Orlando Pirates",60,71,190.5
"14878","J. Carroll",26,"Cambridge United",60,61,182.88
"14879","S. Fraser",23,"Burton Albion",60,69,182.88
"14880","P. Posipal",30,"SV Meppen",60,60,187.96
"14881","R. Fulton",22,"Hamilton Academical FC",60,67,190.5
"14882","M. Herrera",19,"San Lorenzo de Almagro",60,73,180.34
"14883","A. Sicker",21,"Holstein Kiel",60,70,182.88
"14884","V. Drkušić",18,"SC Heerenveen",60,75,185.42
"14885","D. Chávez",23,"Tiburones Rojos de Veracruz",60,64,180.34
"14886","J. Maddox",19,"Cheltenham Town",60,77,177.8
"14887","R. Strain",21,"Adelaide United",60,68,180.34
"14888","R. Germain",23,"Vegalta Sendai",60,66,182.88
"14889","M. Komenda",21,"SV Meppen",60,71,182.88
"14890","M. Seidel",23,"1. FC Magdeburg",60,69,185.42
"14891","M. Kristensen",21,"Esbjerg fB",60,71,172.72
"14892","R. Izumi",24,"Nagoya Grampus",60,64,172.72
"14893","J. Valencia",18,"Millonarios FC",60,79,187.96
"14894","Leja",23,"Granada CF",60,69,182.88
"14895","K. Athiu",25,"Melbourne Victory",60,63,200.66
"14896","Y. Suzuki",24,"Kawasaki Frontale",60,62,182.88
"14897","I. Baba",22,"RCD Mallorca",60,69,182.88
"14898","J. Illanes",21,"Argentinos Juniors",60,68,185.42
"14899","M. Batmaz",18,"Karlsruher SC",60,73,180.34
"14900","B. Al Baqi",28,"Al Ahli",60,61,185.42
"14901","T. Hawkridge",28,"Notts County",60,60,175.26
"14902","V. Demaku",18,"FK Austria Wien",60,76,177.8
"14903","C. Sánchez",18,"Real Sporting de Gijón",60,75,193.04
"14904","N. Janvier",19,"Stade Rennais FC",60,77,170.18
"14905","C. Frommann",20,"SC Freiburg",60,75,185.42
"14906","F. Robert",29,"Forest Green Rovers",60,60,175.26
"14907","S. Al Dosari",26,"Al Taawoun",60,60,177.8
"14908","L. Polvani",23,"Empoli",60,65,187.96
"14909","A. Krysiak",28,"FK Bodø/Glimt",60,60,193.04
"14910","B. Moore",26,"Rochdale",60,65,187.96
"14911","M. Peano",19,"Unión de Santa Fe",60,74,185.42
"14912","N. Diallo",22,"Stade Rennais FC",60,70,177.8
"14913","A. Fejzullahu",25,"Neuchâtel Xamax",60,65,185.42
"14914","D. Johnson",25,"Motherwell",60,64,177.8
"14915","Jiang Ning",31,"Hebei China Fortune FC",60,60,175.26
"14916","H. Narzary",24,"",60,66,177.8
"14917","S. Ntiya-Ntiya",21,"Kaizer Chiefs",60,68,165.1
"14918","Zhang Mengqi",28,"Guizhou Hengfeng FC",60,60,177.8
"14919","L. Czyborra",19,"Heracles Almelo",60,76,177.8
"14920","M. Gneba",19,"Amiens SC",60,73,175.26
"14921","D. Bulman",39,"Crawley Town",60,60,175.26
"14922","F. Brener",20,"Belgrano de Córdoba",60,73,170.18
"14923","M. Viviani",17,"Brescia",60,82,180.34
"14924","W. Kuzain",19,"Sporting Kansas City",60,74,177.8
"14925","M. Erboğa",19,"Kasimpaşa SK",60,71,177.8
"14926","G. Bizzotto",21,"Cittadella",60,70,170.18
"14927","M. Skenderović",20,"TSG 1899 Hoffenheim",60,73,182.88
"14928","Sergio García",20,"Real Zaragoza",60,70,187.96
"14929","J. Ngando",18,"Amiens SC",60,71,170.18
"14930","J. Illum",26,"Vendsyssel FF",60,62,185.42
"14931","V. Cabezas",20,"Deportivo Pasto",60,73,185.42
"14932","R. Çağıran",23,"Yeni Malatyaspor",60,69,175.26
"14933","E. Katayama",26,"Cerezo Osaka",60,61,180.34
"14934","S. Arnold",28,"Shrewsbury",60,61,185.42
"14935","R. Ziegele",21,"VfL Wolfsburg",60,74,185.42
"14936","E. Çelenk",29,"BB Erzurumspor",60,60,180.34
"14937","C. Cooke",21,"Peterborough United",60,69,172.72
"14938","T. Johnson",19,"Southampton",60,71,175.26
"14939","L. Palmiero",22,"Cosenza",60,71,177.8
"14940","F. Ugrinic",19,"FC Luzern",60,79,182.88
"14941","M. Hausjell",19,"FC Admira Wacker Mödling",60,73,172.72
"14942","N. Plume",21,"VfL Sportfreunde Lotte",60,69,187.96
"14943","H. Nakabayashi",32,"Sanfrecce Hiroshima",60,60,182.88
"14944","J. Wind",19,"FC København",60,77,190.5
"14945","I. Łasicki",23,"Wisła Płock",60,67,182.88
"14946","G. Guiffrey",20,"Gimnasia y Esgrima La Plata",60,71,182.88
"14947","L. Woolfenden",19,"Swindon Town",60,70,182.88
"14948","T. Buhagiar",20,"Sydney FC",60,72,177.8
"14949","J. Hunt",27,"Stevenage",60,60,180.34
"14950","Wang Fei",25,"Henan Jianye FC",60,63,175.26
"14951","J. Cacciabue",20,"Newell's Old Boys",60,71,172.72
"14952","Z. Brault-Guillard",19,"Olympique Lyonnais",60,74,170.18
"14953","J. Ebot-Etchi",22,"VfL Sportfreunde Lotte",60,67,172.72
"14954","J. Kamata",32,"Kashiwa Reysol",60,60,177.8
"14955","C. Ojeda",19,"Club Atlético Talleres",60,77,170.18
"14956","H. Ide",24,"Gamba Osaka",60,66,170.18
"14957","Kim Gyeong Min",21,"Jeonnam Dragons",60,70,185.42
"14958","J. David",18,"Hamburger SV",60,79,190.5
"14959","T. Almada",17,"Vélez Sarsfield",60,80,170.18
"14960","K. Riksvold",24,"Ranheim Fotball",60,63,182.88
"14961","M. Acikgöz",18,"Beşiktaş JK",60,73,180.34
"14962","A. Poggenborg",34,"SC Fortuna Köln",60,60,185.42
"14963","A. Tutte",27,"Morecambe",60,60,175.26
"14964","F. Costa",29,"Patronato",60,61,187.96
"14965","F. Buntić",21,"FC Ingolstadt 04",60,70,193.04
"14966","M. Ashimeru",20,"FC St. Gallen",60,74,182.88
"14967","R. Lauwers",19,"Willem II",60,72,180.34
"14968","Sebas Moyano",21,"Córdoba CF",60,73,172.72
"14969","M. Al Otaibi",25,"Al Wehda",60,62,170.18
"14970","S. McLoughlin",21,"Cork City",60,73,180.34
"14971","T. Matsuda",23,"Shonan Bellmare",60,66,165.1
"14972","D. Fitz",19,"FK Austria Wien",60,78,175.26
"14973","A. Barry",25,"Cork City",60,64,180.34
"14974","B. Nordström",22,"IFK Göteborg",60,69,177.8
"14975","M. Sarkaria",21,"FK Austria Wien",60,69,177.8
"14976","F. Pangop",25,"Minnesota United FC",60,63,177.8
"14977","F. Sachpekidis",20,"Kalmar FF",60,72,180.34
"14978","M. Mølvadgaard",18,"Randers FC",60,73,187.96
"14979","M. Grødem",19,"Vålerenga Fotball",60,72,193.04
"14980","M. Merghem",20,"La Berrichonne de Châteauroux",60,69,177.8
"14981","B. Galván",17,"Club Atlético Colón",60,77,165.1
"14982","P. Perina",26,"Cosenza",60,62,185.42
"14983","C. Jacob",21,"Stade Brestois 29",60,70,187.96
"14984","J. Pereyra",19,"Rosario Central",60,77,180.34
"14985","J. Hou Sæter",20,"Stabæk Fotball",60,75,180.34
"14986","S. Lebus",22,"Unión de Santa Fe",60,70,180.34
"14987","M. Dimun",21,"Cracovia",60,73,185.42
"14988","D. Corcoran",29,"Bohemian FC",60,60,182.88
"14989","E. Cantú",19,"Monterrey",60,72,170.18
"14990","C. Beardsley",34,"Burton Albion",60,60,182.88
"14991","S. Sinclair",30,"Bristol Rovers",60,60,170.18
"14992","Y. Fekir",21,"Olympique Lyonnais",60,72,170.18
"14993","S. Laiton",18,"AJ Auxerre",60,82,198.12
"14994","C. Riascos",24,"Atlético Huila",60,67,177.8
"14995","D. Choinière",21,"Montreal Impact",60,68,170.18
"14996","R. Mysak",26,"Aarhus GF",60,64,187.96
"14997","M. Crowe",22,"Preston North End",60,68,193.04
"14998","D. Fernández",20,"Deportes Iquique",60,67,175.26
"14999","G. Gori",19,"Foggia",60,75,187.96
"15000","C. McCarthy",20,"Cork City",60,69,182.88
"15001","Lee Tae Ho",27,"Gangwon FC",60,61,185.42
"15002","D. O'Shea",19,"Exeter City",60,72,182.88
"15003","Yeun Jong Gyu",20,"FC Seoul",60,74,172.72
"15004","F. Piszczek",23,"Cracovia",60,67,187.96
"15005","M. Krauß",21,"SpVgg Unterhaching",60,69,170.18
"15006","K. Lowe",32,"Macclesfield Town",60,60,187.96
"15007","S. Nigro",21,"Brisbane Roar",60,69,180.34
"15008","S. Lavery",19,"Everton",60,76,175.26
"15009","K. Bennetts",19,"Borussia Mönchengladbach",60,78,182.88
"15010","A. Greene",28,"Shamrock Rovers",60,60,180.34
"15011","M. Zeidan",20,"IF Brommapojkarna",60,71,170.18
"15012","B. Bvuma",23,"Kaizer Chiefs",60,69,185.42
"15013","T. Pukhov",20,"PFC CSKA Moscow",60,71,175.26
"15014","N. Fadiga",18,"Club Brugge KV",60,79,180.34
"15015","E. Durrell",28,"Macclesfield Town",60,60,177.8
"15016","H. Gueye",19,"Chamois Niortais Football Club",60,74,187.96
"15017","M. Cerofolini",19,"Cosenza",60,79,187.96
"15018","D. Fitzpatrick",28,"Macclesfield Town",60,60,177.8
"15019","V. Theocharis",19,"Panathinaikos FC",60,70,180.34
"15020","D. Evtimov",24,"Burton Albion",60,64,190.5
"15021","K. Yamga",21,"La Berrichonne de Châteauroux",60,69,187.96
"15022","Liu Huan",29,"Beijing Sinobo Guoan FC",60,60,182.88
"15023","P. McLain",29,"Chicago Fire",60,60,190.5
"15024","L. Bätge",20,"FC Würzburger Kickers",60,70,187.96
"15025","G. Taylor",28,"Cambridge United",60,60,177.8
"15026","D. Pugh",35,"Port Vale",60,60,182.88
"15027","F. Rohner",19,"FC Zürich",60,76,177.8
"15028","M. García",19,"Deportivo Pasto",60,69,177.8
"15029","L. Valenti",19,"Club Atlético Lanús",60,75,187.96
"15030","Feng Jing",24,"Chongqing Dangdai Lifan FC SWM Team",60,62,175.26
"15031","M. Kessel",33,"SC Fortuna Köln",60,60,175.26
"15032","J. Sinisterra",19,"Club Atlético Lanús",60,73,172.72
"15033","V. Henry",24,"Stade Brestois 29",60,63,177.8
"15034","C. Chastang",20,"Clermont Foot 63",60,67,182.88
"15035","M. Górski",28,"Korona Kielce",60,60,182.88
"15036","C. Lewis",21,"Scunthorpe United",60,70,172.72
"15037","S. Jones",26,"Cheltenham Town",60,61,187.96
"15038","S. Kono",25,"V-Varen Nagasaki",60,63,177.8
"15039","E. Oyeleke",25,"Port Vale",60,63,175.26
"15040","G. Holohan",26,"Waterford FC",60,63,180.34
"15041","J. Quezada",27,"Unión Española",60,63,177.8
"15042","J. Romil",23,"Valenciennes FC",60,69,185.42
"15043","R. Lawan",30,"Dalkurd FF",60,60,177.8
"15044","A. Canbaz",20,"Eintracht Braunschweig",60,74,182.88
"15045","M. Berden",20,"Vitesse",60,70,175.26
"15046","A. Pattison",20,"Yeovil Town",60,69,175.26
"15047","O. Zanzala",21,"Accrington Stanley",60,70,185.42
"15048","J. Kabongo",20,"Brøndby IF",60,72,193.04
"15049","D. Gojko",20,"Piast Gliwice",60,68,175.26
"15050","Park Chang Jun",21,"Gangwon FC",60,68,175.26
"15051","M. Hingerl",22,"SG Sonnenhof Großaspach",60,69,182.88
"15052","J. Chicco",20,"Boca Juniors",60,76,185.42
"15053","Ke Zhao",29,"Henan Jianye FC",60,60,175.26
"15054","H. Tijanovich",22,"Gimnasia y Esgrima La Plata",60,69,172.72
"15055","N. Fröling",18,"Kalmar FF",60,73,175.26
"15056","P. Ng",22,"Crewe Alexandra",60,69,180.34
"15057","K. Miś",22,"Wisła Płock",60,66,182.88
"15058","I. Musalami",29,"Al Hazem",60,60,175.26
"15059","S. Asta",17,"FC Augsburg",60,81,177.8
"15060","A. Verda",19,"Querétaro",60,76,182.88
"15061","B. Makendzhiev",29,"",60,60,182.88
"15062","A. Pululu",19,"FC Basel 1893",60,76,175.26
"15063","R. Browne",22,"Yeovil Town",60,65,175.26
"15064","C. Odoi-Atsem",23,"DC United",60,67,177.8
"15065","D. Aymerich",23,"Puebla FC",60,65,175.26
"15066","A. Hollingen",23,"IK Start",60,64,175.26
"15067","S. Doumbia",21,"Grasshopper Club Zürich",60,70,177.8
"15068","N. Mbouhom",19,"Eintracht Frankfurt",60,72,177.8
"15069","J. Morsay",20,"GIF Sundsvall",60,70,177.8
"15070","R. Frantsen",26,"AC Horsens",60,60,182.88
"15071","C. Siya",19,"DSC Arminia Bielefeld",60,74,180.34
"15072","Yun Ji Hyeok",20,"Jeonbuk Hyundai Motors",60,74,190.5
"15073","J. Dörfler",21,"KFC Uerdingen 05",60,67,185.42
"15074","A. Tiritiello",23,"Cosenza",60,69,187.96
"15075","G. Bakırbaş",22,"Göztepe SK",60,66,195.58
"15076","A. Nathaniel-George",23,"Crawley Town",60,66,175.26
"15077","Zhang Xiaobin",24,"Jiangsu Suning FC",60,64,187.96
"15078","Zhang Sipeng",31,"Guizhou Hengfeng FC",60,60,187.96
"15079","D. Chessa",25,"KFC Uerdingen 05",60,61,177.8
"15080","Tao Yuan",25,"Jiangsu Suning FC",60,61,177.8
"15081","M. Balcılar",22,"Çaykur Rizespor",60,68,170.18
"15082","N. Iwadate",29,"Urawa Red Diamonds",60,60,182.88
"15083","A. Diallo",24,"Red Star FC",60,66,177.8
"15084","C. Miller",20,"Dundee FC",60,74,175.26
"15085","A. Lajami",22,"Al Fateh",60,73,177.8
"15086","H. Fukushima",25,"Urawa Red Diamonds",60,64,182.88
"15087","P. Soko",20,"Club Atlas",60,69,175.26
"15088","M. Camara",20,"AS Saint-Étienne",60,70,177.8
"15089","J. Álvarez",18,"River Plate",60,80,170.18
"15090","A. Nesbitt",21,"Milton Keynes Dons",60,74,172.72
"15091","B. Şen",19,"Galatasaray SK",60,76,193.04
"15092","L. Kosakiewicz",27,"Korona Kielce",60,60,175.26
"15093","J. Mendive",21,"Club Atlético Huracán",60,69,177.8
"15094","Lee Jong Won",29,"Sangju Sangmu FC",60,60,175.26
"15095","D. Hume",21,"Sunderland",60,70,172.72
"15096","E. Besea",21,"Frosinone",60,72,182.88
"15097","F. Núñez",22,"Godoy Cruz",60,69,175.26
"15098","E. Dahl Reitan",20,"Rosenborg BK",60,74,180.34
"15099","A. Bianchimano",21,"Perugia",60,70,195.58
"15100","J. Vreman",20,"De Graafschap",60,69,187.96
"15101","M. Di Gennaro",24,"Livorno",60,67,193.04
"15102","D. Love",23,"Sunderland",60,66,177.8
"15103","C. Torres",22,"Club León",60,70,182.88
"15104","R. Dickie",22,"Oxford United",60,68,182.88
"15105","Pablo Ramón",17,"RCD Mallorca",60,81,185.42
"15106","G. Güney",19,"Galatasaray SK",60,77,180.34
"15107","T. Iida",23,"Shimizu S-Pulse",60,64,177.8
"15108","F. Faist",29,"TSV Hartberg",60,60,180.34
"15109","Sergio Moreno",19,"Rayo Vallecano",60,73,180.34
"15110","G. Vrioni",19,"Venezia FC",60,70,182.88
"15111","W. Tchimbembé",20,"ESTAC Troyes",60,74,180.34
"15112","M. Abu Shararah",27,"Al Raed",60,61,175.26
"15113","P. Pusic",19,"Grasshopper Club Zürich",60,72,170.18
"15114","I. Rojas",20,"Envigado FC",60,71,177.8
"15115","L. Chiappero",24,"Defensa y Justicia",60,67,187.96
"15116","B. Sissoko",20,"ESTAC Troyes",60,71,185.42
"15117","S. Paintsil",22,"FC Admira Wacker Mödling",60,66,167.64
"15118","E. Amenyido",20,"VfL Osnabrück",60,71,180.34
"15119","R. Charles-Cook",21,"Gillingham",60,68,175.26
"15120","M. Heinrich",20,"SC Preußen Münster",60,68,180.34
"15121","A. Erlingmark",20,"IFK Göteborg",60,69,187.96
"15122","G. Jones",22,"Fleetwood Town",60,69,177.8
"15123","M. Cassara",26,"GFC Ajaccio",60,64,190.5
"15124","T. Tillman",19,"1. FC Nürnberg",60,78,182.88
"15125","Qiu Tianyi",29,"Tianjin TEDA FC",60,61,193.04
"15126","Yang Jiawei",26,"Jiangsu Suning FC",60,61,182.88
"15127","K. Khosonov",20,"PFC CSKA Moscow",60,72,185.42
"15128","S. Frederiksen",28,"SønderjyskE",60,60,185.42
"15129","L. Budziłek",27,"Pogoń Szczecin",60,61,185.42
"15130","J. Barmby",23,"Portland Timbers",60,66,177.8
"15131","J. Franzoni",27,"Patronato",60,60,180.34
"15132","A. Bamba",18,"Paris FC",60,79,182.88
"15133","C. Ilic",21,"TSV Hartberg",60,67,177.8
"15134","M. Gurski",39,"SpVgg Unterhaching",60,60,187.96
"15135","B. Gyamfi",22,"Benevento",60,67,177.8
"15136","Daniel Rebollo",18,"Real Betis",60,74,180.34
"15137","G. Canto",24,"Club Tijuana",60,68,182.88
"15138","Adrià Arjona",22,"CF Reus Deportiu",60,67,175.26
"15139","C. McFadzean",24,"Bury",60,63,180.34
"15140","K. Brennan",34,"St. Patrick's Athletic",60,60,182.88
"15141","E. Berger",24,"IK Start",60,67,185.42
"15142","M. Choinière",19,"Montreal Impact",60,75,175.26
"15143","A. Siebeck",24,"Karlsruher SC",60,64,182.88
"15144","N. Sukacev",20,"Grasshopper Club Zürich",60,75,177.8
"15145","G. Thompson",37,"Morecambe",60,60,177.8
"15146","D. Tagami",25,"V-Varen Nagasaki",60,63,180.34
"15147","D. Vokic",22,"Zagłębie Sosnowiec",60,67,190.5
"15148","R. D'Haese",19,"KV Oostende",60,72,177.8
"15149","S. Seth",20,"Yeni Malatyaspor",60,72,170.18
"15150","I. Ogbu",18,"Rosenborg BK",60,73,187.96
"15151","N. Temperini",23,"Newell's Old Boys",60,69,185.42
"15152","T. Ivanof",20,"KV Kortrijk",60,69,175.26
"15153","C. González",20,"Club Atlas",60,72,167.64
"15154","B. Öztürk",22,"Antalyaspor",60,69,185.42
"15155","M. Fischer",22,"SCR Altach",60,67,177.8
"15156","L. Malagón",21,"Monarcas Morelia",60,72,177.8
"15157","M. Drawz",19,"Hamburger SV",60,75,177.8
"15158","Z. Medley",17,"Arsenal",60,78,193.04
"15159","P. Farman",28,"Stevenage",60,60,185.42
"15160","M. Al Olayan",23,"Al Taawoun",60,66,170.18
"15161","K. Tanno",32,"Cerezo Osaka",60,60,182.88
"15162","A. Kovačević",24,"Korona Kielce",60,66,187.96
"15163","F. Graudenz",26,"FC Energie Cottbus",60,60,180.34
"15164","R. Sallinger",22,"TSV Hartberg",60,67,195.58
"15165","L. Fraser",20,"Toronto FC",60,75,185.42
"15166","J. van Benthem",19,"Heracles Almelo",60,71,190.5
"15167","C. Stockton",24,"Tranmere Rovers",60,64,185.42
"15168","D. Sánchez",25,"Itagüí Leones FC",60,65,177.8
"15169","Álvaro García",18,"Albacete BP",60,76,182.88
"15170","D. Leadbitter",27,"Bristol Rovers",60,60,182.88
"15171","C. Ainley",20,"Crewe Alexandra",60,75,172.72
"15172","A. Bodart",20,"Standard de Liège",60,71,182.88
"15173","N. Bazzana",22,"Estudiantes de La Plata",60,68,182.88
"15174","M. Bleve",22,"Lecce",60,70,182.88
"15175","M. Molina",18,"Independiente",60,77,182.88
"15176","M. Behrens",21,"Hamburger SV",60,70,193.04
"15177","V. Sirotov",26,"Zagłębie Lubin",60,60,180.34
"15178","M. Boudjemaa",20,"En Avant de Guingamp",60,75,182.88
"15179","C. Horgan",23,"Cork City",60,64,175.26
"15180","M. Rhead",34,"Lincoln City",60,60,193.04
"15181","G. Nyamsi",21,"Stade Rennais FC",60,70,193.04
"15182","E. Reijnders",17,"PEC Zwolle",60,77,167.64
"15183","C. McDermott",20,"Derry City",60,74,172.72
"15184","U. Mohammed",24,"Sarpsborg 08 FF",60,66,182.88
"15185","E. Andersson",21,"Trelleborgs FF",60,71,177.8
"15186","L. Joyce",30,"Port Vale",60,60,180.34
"15187","I. Kanu",18,"Port Vale",60,75,182.88
"15188","A. Majrashi",20,"Al Ahli",60,72,170.18
"15189","C. Pombo",24,"Atlético Tucumán",60,66,170.18
"15190","M. Bean",34,"Wycombe Wanderers",60,60,180.34
"15191","T. Conlon",22,"Port Vale",60,64,172.72
"15192","A. Purzycki",20,"Miedź Legnica",60,68,177.8
"15193","M. Maranda",20,"FC Wacker Innsbruck",60,69,187.96
"15194","A. Al Obud",23,"Ettifaq FC",60,68,175.26
"15195","T. Kallevåg",25,"FK Haugesund",60,63,177.8
"15196","Gori López",19,"CF Reus Deportiu",60,72,177.8
"15197","A. Tsvetkov",27,"",60,61,180.34
"15198","S. Al Khayri",23,"Ettifaq FC",60,67,172.72
"15199","F. Musaev",29,"Júbilo Iwata",60,60,182.88
"15200","Chen Jie",28,"Beijing Renhe FC",60,60,175.26
"15201","M. Burgess",23,"Wellington Phoenix",60,65,185.42
"15202","E. Kutler",23,"New York Red Bulls",60,66,180.34
"15203","Chechu Grana",23,"CF Reus Deportiu",60,66,190.5
"15204","T. Siekman",28,"FC Emmen",60,62,187.96
"15205","E. Bullaude",17,"Godoy Cruz",60,75,182.88
"15206","Shi Liang",29,"Beijing Renhe FC",60,60,175.26
"15207","D. Barlaser",21,"Accrington Stanley",60,74,182.88
"15208","D. Camacho",21,"La Equidad",60,73,177.8
"15209","J. Oates",27,"Exeter City",60,60,180.34
"15210","S. Cosgrove",21,"Aberdeen",60,70,187.96
"15211","B. Garré",17,"Manchester City",60,78,170.18
"15212","J. Jones",22,"Crewe Alexandra",60,70,175.26
"15213","R. Tranberg",25,"Dalkurd FF",60,65,185.42
"15214","S. Bougrine",21,"Paris FC",60,69,175.26
"15215","S. Byrne",25,"Livingston FC",60,63,182.88
"15216","Park Yong Ji",25,"Sangju Sangmu FC",60,61,182.88
"15217","C. Calderón",21,"Club Atlas",60,73,170.18
"15218","F. Juárez",19,"Club Atlético Talleres",60,73,177.8
"15219","F. Lapis",24,"Chamois Niortais Football Club",60,64,182.88
"15220","Cristian Rodríguez",22,"Atlético Madrid",60,70,180.34
"15221","S. Folan",26,"Dundalk",60,62,185.42
"15222","Shan Pengfei",25,"Dalian YiFang FC",60,63,180.34
"15223","J. Yarney",20,"Morecambe",60,71,182.88
"15224","F. Andersson",29,"Malmö FF",60,60,195.58
"15225","U. Tezel",21,"SC Preußen Münster",60,69,180.34
"15226","A. Camara",20,"KV Kortrijk",60,69,195.58
"15227","A. Al Sharid",24,"Al Fateh",60,67,170.18
"15228","R. Jendrusch",22,"FC Erzgebirge Aue",60,66,190.5
"15229","M. Demir",20,"Hannover 96",60,73,170.18
"15230","J. Borgmann",20,"SC Preußen Münster",60,67,195.58
"15231","D. Esmel",20,"1. FC Kaiserslautern",60,72,180.34
"15232","T. Nichols",24,"Bristol Rovers",60,62,177.8
"15233","R. Husić",22,"VfR Aalen",60,69,190.5
"15234","V. Arboleda",21,"Portland Timbers",60,72,170.18
"15235","G. Mells",21,"Fortuna Sittard",60,69,177.8
"15236","Z. Grich",22,"Chamois Niortais Football Club",60,65,175.26
"15237","Yoon Dong Min",29,"Jeonnam Dragons",60,60,175.26
"15238","M. Jadama",24,"Portland Timbers",60,69,185.42
"15239","Qi Tianyu",25,"Shandong Luneng TaiShan FC",60,65,180.34
"15240","A. May",20,"Portsmouth",60,71,182.88
"15241","C. Maghoma",20,"Arka Gdynia",60,65,195.58
"15242","M. Sorensen",19,"Brentford",60,75,185.42
"15243","B. Morris",18,"Forest Green Rovers",60,77,175.26
"15244","O. Dytyatev",29,"Cracovia",60,60,195.58
"15245","P. Mbodji",20,"Getafe CF",60,70,182.88
"15246","S. Al Najai",21,"Al Nassr",60,69,175.26
"15247","D. Margush",20,"Adelaide United",60,72,187.96
"15248","M. Bokoum",18,"AS Béziers",60,71,177.8
"15249","R. Wolsztyński",23,"Górnik Zabrze",60,66,180.34
"15250","L. Cruz",21,"Tigres U.A.N.L.",60,72,180.34
"15251","R. Escobar",20,"Audax Italiano",60,75,175.26
"15252","A. Al Shammary",22,"Al Shabab",60,69,177.8
"15253","F. Krüger",19,"FC Erzgebirge Aue",60,73,185.42
"15254","H. Heath",22,"Minnesota United FC",60,65,180.34
"15255","W. Boyle",22,"Cheltenham Town",60,67,190.5
"15256","A. Rodríguez",22,"Newell's Old Boys",60,71,170.18
"15257","T. Domgjoni",19,"FC Zürich",60,75,177.8
"15258","M. Bola",20,"Blackpool",60,70,185.42
"15259","H. Mitsumaru",24,"Sagan Tosu",60,64,172.72
"15260","S. Smith",20,"Oxford United",60,74,180.34
"15261","J. Qwiberg",25,"San Jose Earthquakes",60,61,172.72
"15262","B. Ashley-Seal",19,"Wolverhampton Wanderers",60,76,187.96
"15263","S. Fujitani",20,"Vissel Kobe",60,67,177.8
"15264","Sergi Álamo",20,"Girona FC",60,73,190.5
"15265","A. Ćatić",19,"PSV",60,75,177.8
"15266","A. Akinola",18,"Toronto FC",60,79,170.18
"15267","P. Grant",24,"Plymouth Argyle",60,67,187.96
"15268","K. Monlouis",22,"Hamilton Academical FC",60,70,182.88
"15269","A. Anastasio",21,"Cosenza",60,70,180.34
"15270","R. Gilmartin",31,"Colchester United",60,60,198.12
"15271","B. Njie",20,"Odds BK",60,72,172.72
"15272","E. Monthe",23,"Tranmere Rovers",60,67,193.04
"15273","V. Millico",17,"Torino",60,78,172.72
"15274","N. Husin",21,"Notts County",60,71,177.8
"15275","D. Salazar",19,"CD O'Higgins",60,75,180.34
"15276","V. Drchal",18,"Sparta Praha",60,76,185.42
"15277","J. Caraballo",22,"CD Huachipato",60,69,167.64
"15278","C. Zock",24,"FC Sion",60,65,190.5
"15279","A. Chrzanowski",19,"Lechia Gdańsk",60,71,185.42
"15280","T. Clarke",20,"Shamrock Rovers",60,74,165.1
"15281","F. Carstens",19,"FC St. Pauli",60,71,190.5
"15282","G. Scalera",20,"Pescara",60,71,182.88
"15283","B. Levis",25,"Vancouver Whitecaps FC",60,65,172.72
"15284","B. Miele",23,"Shamrock Rovers",60,66,175.26
"15285","A. Al Arraf",23,"Al Taawoun",60,66,182.88
"15286","J. Sievers",23,"1. FC Kaiserslautern",60,68,187.96
"15287","J. Abarzua",26,"CD Universidad de Concepción",60,62,175.26
"15288","C. Villanueva",24,"Club Necaxa",60,67,185.42
"15289","N. Arena",20,"Vélez Sarsfield",60,71,182.88
"15290","S. Marasovic",20,"Olympique de Marseille",60,74,170.18
"15291","M. Falkeborn",25,"Lillestrøm SK",60,64,182.88
"15292","R. Boultam",20,"US Cremonese",60,74,187.96
"15293","G. Giannoutsos",19,"AEK Athens",60,72,180.34
"15294","L. Plogmann",18,"SV Werder Bremen",60,81,187.96
"15295","S. Perilli",23,"Perugia",60,68,195.58
"15296","A. Davies",20,"Fulham",60,71,187.96
"15297","S. Adrian",20,"Malmö FF",60,72,182.88
"15298","I. Miller",31,"Oldham Athletic",60,60,190.5
"15299","V. Rodríguez",23,"Club América",60,69,162.56
"15300","N. Hagelskjær",28,"Esbjerg fB",60,60,185.42
"15301","T. Archibald",20,"Forest Green Rovers",60,74,180.34
"15302","C. Missilou",25,"Oldham Athletic",60,63,180.34
"15303","C. McGrandles",22,"Milton Keynes Dons",60,69,185.42
"15304","A. Rufer",22,"Wellington Phoenix",59,66,182.88
"15305","R. Hall-Johnson",23,"Grimsby Town",59,65,172.72
"15306","N. Kirby",18,"Crystal Palace",59,79,172.72
"15307","E. Mena",20,"Patriotas Boyacá FC",59,72,175.26
"15308","M. Haarup",22,"Hobro IK",59,68,177.8
"15309","S. Kassar",28,"Ohod Club",59,59,170.18
"15310","K. Callan-McFadden",23,"Sligo Rovers",59,64,182.88
"15311","Ramón",27,"SønderjyskE",59,59,182.88
"15312","R. Grego-Cox",21,"Crawley Town",59,68,170.18
"15313","R. Broom",21,"Cheltenham Town",59,66,177.8
